uploaded|uniqueID|salutation|jobtitle|institution|fit|teaching|customCLskip|fourthLOR|desire
False|Cornell|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Cornell University|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\bigskip|Fernando Alvarez,~|Having grown up in Upstate New York, I am especially excited by the opportunity to help continue Cornell's record of research excellence and local community impact while being near my family.
False|Duke|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Duke University|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\bigskip|Fernando Alvarez,~|Having done my undergraduate studies at Duke, I would be especially excited to move back to Durham. My wife, a physician and Duke alumna herself, would likewise be thrilled by the personal and career opportunities that moving back to the Triangle would afford.
False|MIT|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the Massachusetts Institute of Technology|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\bigskip||
False|Northwestern|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Northwestern University|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\bigskip|Fernando Alvarez,~|I am particularly excited about the position at Northwestern, not only because my research agenda contributes to the existing strengths of the department, but also because my wife is a radiology resident at Northwestern's Feinberg School of Medicine. We would be particularly thrilled to stay in Chicagoland.
False|Penn|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the University of Pennsylvania|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\bigskip||I am particularly excited about the position at Penn, not only because I think my research agenda contributes to the existing strengths of the department, but also because moving to Greater Philadelphia would be particularly beneficial to my wife's career in academic medicine.
False|Princeton|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Princeton University|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Fernando Alvarez,~|
False|Rochester|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the University of Rochester|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\smallskip|Fernando Alvarez,~|I am particularly excited about the position at the University of Rochester, not only because I think my research agenda contributes to the existing strengths of the department, but also because Rochester is where I grew up and where all of my family still lives. I would be thrilled to pursue excellent research and serve the Rochester community while being close to my family.
False|UCLA|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the University of California Los Angeles|I think my record of research and teaching makes me a strong fit for the position.|\standardteach|\bigskip||
False|BerkeleyARE|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Agricultural and Resource Economics|the University of California Berkeley|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Fernando Alvarez,~|I am particularly excited about the position at Berkeley ARE, not only because I think my research agenda contributes to the existing strengths of the department, but also because moving to the Bay Area would be particularly beneficial to my wife's career in academic medicine.
False|ColumbiaGSB|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the Graduate School of Business at Columbia University|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Fernando Alvarez,~|On top of my desire to do research in a vibrant intellectual environment, I am excited about the prospect of moving back to New York State, where my family is, and being in New York City in particular, where my wife can find ample opportunities to continue her work in academic medicine.
